packet_ratio,high_activity,label
1.0,1,normal
1.1666666666666667,0,normal
1.5,1,normal
3.75,1,normal
1.6,1,attack
1.125,1,attack
1.25,1,normal
1.5,0,attack
1.0,1,normal
2.2,0,normal
0.7272727272727273,1,normal
1.3333333333333333,0,normal
2.4,0,normal
1.125,0,normal
1.0,0,normal
0.875,0,normal
1.3333333333333333,1,normal
0.9,0,normal
1.2222222222222223,0,normal
0.75,1,normal
0.3076923076923077,0,attack
0.9090909090909091,1,attack
1.4,1,normal
0.8181818181818182,1,attack
0.6363636363636364,1,normal
1.75,0,normal
0.8666666666666667,1,normal
1.4,0,normal
2.0,0,attack
1.6666666666666667,1,normal
1.2857142857142858,0,normal
1.125,1,normal
1.8571428571428572,1,normal
2.6666666666666665,1,attack
1.4,1,normal
2.0,0,normal
2.2,0,normal
1.125,1,normal
2.2857142857142856,0,normal
2.5,1,normal
0.7272727272727273,1,normal
0.75,1,normal
1.5555555555555556,0,attack
3.2,0,attack
1.5,0,normal
0.6666666666666666,0,normal
1.4285714285714286,1,normal
0.7,0,normal
2.125,0,normal
1.1,0,normal
2.375,1,normal
0.8461538461538461,1,normal
0.75,0,normal
1.5,0,normal
0.6666666666666666,0,normal
2.0,0,normal
0.6363636363636364,1,normal
0.7272727272727273,1,normal
2.5,0,normal
1.0,0,normal
0.9,1,normal
1.3,0,normal
1.1,1,attack
1.0909090909090908,0,normal
1.8571428571428572,0,normal
1.5454545454545454,0,normal
0.6,0,normal
0.8888888888888888,1,normal
1.1666666666666667,0,normal
1.375,0,normal
2.6666666666666665,0,attack
1.125,0,normal
1.2,0,normal
1.3333333333333333,0,attack
0.5454545454545454,1,normal
1.1,0,attack
1.2,0,normal
2.1666666666666665,1,attack
1.5,0,normal
1.3333333333333333,1,normal
1.3333333333333333,0,normal
1.5,1,normal
1.8,1,normal
1.5555555555555556,1,normal
1.2,1,normal
0.8888888888888888,0,normal
1.0,1,normal
1.2,0,normal
2.0,0,attack
0.75,0,normal
1.3636363636363635,1,attack
0.6363636363636364,0,normal
1.7,1,normal
1.7142857142857142,1,normal
1.1666666666666667,1,normal
1.5,1,normal
1.8571428571428572,0,normal
1.6666666666666667,0,normal
1.2222222222222223,0,attack
1.4,0,normal
1.2307692307692308,0,normal
1.1111111111111112,0,normal
0.8,0,normal
2.75,1,normal
1.2857142857142858,1,normal
0.2222222222222222,0,normal
1.2727272727272727,1,normal
1.4,0,normal
2.0,0,attack
1.2,1,attack
1.375,0,normal
0.9166666666666666,0,normal
1.1666666666666667,1,normal
1.1111111111111112,1,attack
0.9090909090909091,1,normal
0.7777777777777778,1,normal
1.8333333333333333,1,normal
2.1666666666666665,0,normal
1.3846153846153846,0,normal
1.375,0,normal
0.7142857142857143,0,normal
1.4285714285714286,1,normal
0.5,0,normal
0.8461538461538461,1,normal
1.2222222222222223,1,normal
0.5384615384615384,1,normal
2.5,1,attack
1.2,1,normal
1.4285714285714286,0,normal
1.5714285714285714,1,normal
1.3333333333333333,0,normal
1.8888888888888888,1,normal
1.4285714285714286,0,normal
1.8333333333333333,1,attack
1.7,1,normal
0.6666666666666666,0,normal
0.75,0,normal
0.6,1,normal
1.0,0,normal
3.0,1,normal
2.0,1,normal
1.8,0,normal
1.1818181818181819,0,normal
0.9090909090909091,0,normal
1.5,1,normal
0.8125,0,normal
1.375,1,attack
0.7142857142857143,0,normal
2.6666666666666665,1,normal
1.6363636363636365,1,normal
1.5,1,normal
0.75,0,normal
0.75,1,normal
0.9090909090909091,1,attack
0.9,1,normal
0.5384615384615384,1,normal
2.0,0,normal
0.8571428571428571,0,attack
1.4444444444444444,1,normal
0.8333333333333334,0,normal
1.6666666666666667,1,normal
2.0,1,normal
1.25,0,normal
0.5454545454545454,1,normal
0.5,0,normal
1.4444444444444444,1,normal
1.9,1,normal
1.125,1,normal
1.5,0,normal
1.1111111111111112,0,attack
0.3333333333333333,1,attack
0.8461538461538461,1,normal
1.0,1,attack
0.9166666666666666,0,normal
2.0,0,normal
1.1818181818181819,0,normal
0.9,1,normal
1.3,0,normal
1.5,0,normal
0.4,1,normal
0.7692307692307693,0,normal
1.5,1,normal
1.3636363636363635,1,normal
1.25,1,normal
3.0,0,normal
1.0,0,attack
3.6,1,attack
1.0,1,normal
0.75,1,attack
1.0,0,normal
1.8333333333333333,1,attack
1.375,1,normal
3.75,1,normal
1.75,1,normal
1.5555555555555556,1,normal
1.3,1,normal
0.7777777777777778,0,normal
1.8,0,normal
1.4285714285714286,0,normal
2.0,0,normal
